sender,receiver,amount,timestamp,is_mule,edge_role,ring_id,ring_type,split
UPI_00852,UPI_02178,3065.38,2025-03-02 00:10:44.000000,0,organic_social,-1,organic,val
UPI_02400,UPI_01600,70.86,2025-03-02 00:42:53.000000,0,organic_frequent,-1,organic,val
UPI_00945,UPI_02187,1430.05,2025-03-02 04:24:59.000000,0,organic_social,-1,organic,val
UPI_02328,UPI_00018,10858.24,2025-03-02 04:41:47.000000,0,organic_merchant,-1,organic,val
UPI_01133__SUCC,UPI_01678,3556.03,2025-03-02 05:01:44.000000,0,organic_social,-1,organic,val
UPI_00506__SUCC,UPI_01302,5211.7,2025-03-02 05:38:09.000000,0,organic_merchant,-1,organic,val
UPI_00461,UPI_01997,530.28,2025-03-02 05:40:30.000000,0,organic_social,-1,organic,val
UPI_00323,UPI_00087,3138.05,2025-03-02 05:42:53.000000,0,organic_merchant,-1,organic,val
UPI_00395,UPI_02772,8356.58,2025-03-02 05:56:55.000000,0,organic_social,-1,organic,val
UPI_02942,UPI_01478,6379.36,2025-03-02 06:08:36.000000,0,organic_social,-1,organic,val
UPI_00337,UPI_02784,118711.56,2025-03-02 06:15:12.000000,0,organic_b2b_cycle,-1,organic,val
UPI_00131,UPI_00380,700.34,2025-03-02 06:20:55.000000,0,organic_frequent,-1,organic,val
UPI_01299,UPI_01651,284.42,2025-03-02 06:20:57.000000,0,organic_social,-1,organic,val
UPI_02246,UPI_02232,299.0,2025-03-02 06:24:13.000000,0,organic_subscription,-1,organic,val
UPI_01464,UPI_01767,26201.87,2025-03-02 06:30:00.000000,0,organic_forward,-1,organic,val
UPI_02398,UPI_02986,249.92,2025-03-02 06:33:37.000000,0,organic_frequent,-1,organic,val
UPI_00806,UPI_02250,8371.39,2025-03-02 06:44:44.000000,0,organic_forward,-1,organic,val
UPI_01200,UPI_01111,99.0,2025-03-02 06:46:03.000000,0,organic_subscription,-1,organic,val
UPI_02695,UPI_00972,7264.06,2025-03-02 06:47:50.000000,0,organic_payout,-1,organic,val
UPI_00942,UPI_01279,983.79,2025-03-02 06:48:41.000000,0,organic_oneoff,-1,organic,val
UPI_01593,UPI_01797,1522.27,2025-03-02 06:55:33.000000,0,organic_frequent,-1,organic,val
UPI_02072,UPI_01282,299.0,2025-03-02 06:55:46.000000,0,organic_subscription,-1,organic,val
UPI_00681,UPI_01157,2237.47,2025-03-02 06:57:03.000000,0,organic_merchant,-1,organic,val
UPI_00652,UPI_01543,30637.92,2025-03-02 06:59:52.000000,0,organic_merchant,-1,organic,val
UPI_01434,UPI_02916,3650.0,2025-03-02 07:00:55.000000,0,organic_emi,-1,organic,val
UPI_02296,UPI_02775,10500.0,2025-03-02 07:00:58.000000,0,organic_emi,-1,organic,val
UPI_01330,UPI_02127,7348.74,2025-03-02 07:01:21.000000,0,organic_merchant,-1,organic,val
UPI_00165,UPI_02973,11000.0,2025-03-02 07:02:16.000000,0,organic_emi,-1,organic,val
UPI_00257,UPI_01502,5350.0,2025-03-02 07:03:25.000000,0,organic_emi,-1,organic,val
UPI_01615,UPI_02799,12000.0,2025-03-02 07:03:32.000000,0,organic_emi,-1,organic,val
UPI_02768,UPI_02683,19500.0,2025-03-02 07:03:42.000000,0,organic_emi,-1,organic,val
UPI_00154,UPI_02716,8882.55,2025-03-02 07:04:08.000000,0,organic_social,-1,organic,val
UPI_01102,UPI_02664,8296.24,2025-03-02 07:04:48.000000,0,organic_social,-1,organic,val
UPI_00205,UPI_02071,3550.0,2025-03-02 07:04:59.000000,0,organic_emi,-1,organic,val
UPI_02270,UPI_01418,1537.13,2025-03-02 07:07:18.000000,0,organic_merchant,-1,organic,val
UPI_01137,UPI_02621,299.0,2025-03-02 07:07:51.000000,0,organic_subscription,-1,organic,val
UPI_00284,UPI_01806,2500.0,2025-03-02 07:09:14.000000,0,organic_emi,-1,organic,val
UPI_00164,UPI_01351,299.0,2025-03-02 07:09:43.000000,0,organic_subscription,-1,organic,val
UPI_00154,UPI_02799,13500.0,2025-03-02 07:10:59.000000,0,organic_emi,-1,organic,val
UPI_00001,UPI_00942,9847.1,2025-03-02 07:13:01.000000,0,organic_oneoff,-1,organic,val
UPI_00001,UPI_00942,1466.96,2025-03-02 07:15:18.000000,0,organic_oneoff,-1,organic,val
UPI_02653,UPI_01167,1925.86,2025-03-02 07:21:48.000000,0,organic_social,-1,organic,val
UPI_02925,UPI_01579,8150.0,2025-03-02 07:26:19.000000,0,organic_emi,-1,organic,val
UPI_00948,UPI_00384,412.59,2025-03-02 07:28:19.000000,0,organic_frequent,-1,organic,val
UPI_02668,UPI_02725,16500.0,2025-03-02 07:29:49.000000,0,organic_emi,-1,organic,val
UPI_01254,UPI_02238,23500.0,2025-03-02 07:32:56.000000,0,organic_emi,-1,organic,val
UPI_01180,UPI_02071,3350.0,2025-03-02 07:35:55.000000,0,organic_emi,-1,organic,val
UPI_01986,UPI_02934,4661.92,2025-03-02 07:36:24.000000,0,organic_merchant,-1,organic,val
UPI_00253,UPI_01351,4800.0,2025-03-02 07:37:48.000000,0,organic_emi,-1,organic,val
UPI_01723,UPI_02301,13500.0,2025-03-02 07:39:11.000000,0,organic_emi,-1,organic,val
UPI_02606,UPI_01030,9543.3,2025-03-02 07:39:12.000000,0,organic_merchant,-1,organic,val
UPI_01510,UPI_00273,918.63,2025-03-02 07:39:45.000000,0,organic_social,-1,organic,val
UPI_02100,UPI_02071,199.0,2025-03-02 07:40:31.000000,0,organic_subscription,-1,organic,val
UPI_00289,UPI_01996,3255.27,2025-03-02 07:40:54.000000,0,organic_merchant,-1,organic,val
UPI_02015,UPI_01030,643.61,2025-03-02 07:41:33.000000,0,organic_frequent,-1,organic,val
UPI_02565,UPI_02939,156748.05,2025-03-02 07:41:43.000000,0,organic_b2b_cycle,-1,organic,val
UPI_02794,UPI_01831,2800.0,2025-03-02 07:42:00.000000,0,organic_emi,-1,organic,val
UPI_00918,UPI_01475,23500.0,2025-03-02 07:42:09.000000,0,organic_emi,-1,organic,val
UPI_01522,UPI_00430,99.0,2025-03-02 07:43:41.000000,0,organic_subscription,-1,organic,val
UPI_00956,UPI_01795,8950.0,2025-03-02 07:44:36.000000,0,organic_emi,-1,organic,val
UPI_02271,UPI_00599,507.8,2025-03-02 07:44:50.000000,0,organic_merchant,-1,organic,val
UPI_01731,UPI_01151__SUCC,14000.0,2025-03-02 07:45:40.000000,0,organic_emi,-1,organic,val
UPI_02177,UPI_00082,1802.51,2025-03-02 07:46:03.000000,0,organic_oneoff,-1,organic,val
UPI_00745,UPI_02977,281.0,2025-03-02 07:47:34.000000,0,organic_frequent,-1,organic,val
UPI_00483,UPI_01831,19500.0,2025-03-02 07:52:00.000000,0,organic_emi,-1,organic,val
UPI_00235,UPI_01475,11000.0,2025-03-02 07:55:37.000000,0,organic_emi,-1,organic,val
UPI_02594,UPI_00985,188077.01,2025-03-02 07:56:30.000000,0,organic_b2b_cycle,-1,organic,val
UPI_01345,UPI_02621,8050.0,2025-03-02 07:59:03.000000,0,organic_emi,-1,organic,val
UPI_00152,UPI_01681,6150.0,2025-03-02 07:59:21.000000,0,organic_emi,-1,organic,val
UPI_01827,UPI_01282,149.0,2025-03-02 08:01:15.000000,0,organic_subscription,-1,organic,val
UPI_01800,UPI_01756,8206.31,2025-03-02 08:04:10.000000,0,organic_social,-1,organic,val
UPI_02062,UPI_00001,712.87,2025-03-02 08:04:28.000000,0,organic_oneoff,-1,organic,val
UPI_00741,UPI_02191,7697.18,2025-03-02 08:04:41.000000,0,organic_merchant,-1,organic,val
UPI_01108,UPI_00695,624.0,2025-03-02 08:06:38.000000,0,organic_oneoff,-1,organic,val
UPI_02619,UPI_00691,11702.66,2025-03-02 08:10:32.000000,0,organic_payout,-1,organic,val
UPI_00942,UPI_00446,1608.22,2025-03-02 08:11:27.000000,0,organic_oneoff,-1,organic,val
UPI_00520,UPI_01009__SUCC,5842.69,2025-03-02 08:12:01.000000,0,organic_merchant,-1,organic,val
UPI_01865,UPI_01502,149.0,2025-03-02 08:14:30.000000,0,organic_subscription,-1,organic,val
UPI_01975,UPI_01981,3011.15,2025-03-02 08:18:41.000000,0,organic_social,-1,organic,val
UPI_00365,UPI_02339,20314.48,2025-03-02 08:19:50.000000,0,organic_payout,-1,organic,val
UPI_02251,UPI_02986,455.65,2025-03-02 08:20:30.000000,0,organic_frequent,-1,organic,val
UPI_01671,UPI_00544,1557.58,2025-03-02 08:20:54.000000,0,organic_merchant,-1,organic,val
UPI_00596__SUCC,UPI_01797,300.82,2025-03-02 08:22:56.000000,0,organic_frequent,-1,organic,val
